slug,active,index,original_url,new_url
sea-buckthorn-nourishing-cream,true,0,https://biosash.com/media/uploads/products/Seabuckthorn-Nourishing.png,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/sea-buckthorn-nourishing-cream/8006b42ce4bf-Seabuckthorn-Nourishing.png
seabuckthorn-body-lotion,true,0,https://biosash.com/media/uploads/products/Biosash-Sea-Buckthron-Body-Lotion.png,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/seabuckthorn-body-lotion/ed6172a613cd-Biosash-Sea-Buckthron-Body-Lotion.png
seabuckthorn-body-lotion,true,1,https://biosash.com/media/uploads/products/01-43.jpg,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/seabuckthorn-body-lotion/19efd6f0ecd1-01-43.jpg
seabuckthorn-body-lotion,true,2,https://biosash.com/media/uploads/products/02-43.jpg,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/seabuckthorn-body-lotion/003ede2e38ae-02-43.jpg
seabuckthorn-body-lotion,true,3,https://biosash.com/media/uploads/products/03-43.jpg,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/seabuckthorn-body-lotion/0f014316bf0e-03-43.jpg
seabuckthorn-body-lotion,true,4,https://biosash.com/media/uploads/products/04-41.jpg,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/seabuckthorn-body-lotion/d6c08bb42474-04-41.jpg
sea-buckthorn-massage-cream-2,true,0,https://biosash.com/media/uploads/products/Seabuckthorn-Massage-Cream.png,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/sea-buckthorn-massage-cream-2/0b68568ce0d6-Seabuckthorn-Massage-Cream.png
sea-buckthorn-massage-cream-2,true,1,https://biosash.com/media/uploads/products/2025-10-01-2.jpg,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/sea-buckthorn-massage-cream-2/062d82efc966-2025-10-01-2.jpg
sea-buckthorn-massage-cream-2,true,2,https://biosash.com/media/uploads/products/2025-10-02-2.jpg,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/sea-buckthorn-massage-cream-2/6080e4b9e4de-2025-10-02-2.jpg
sea-buckthorn-massage-cream-2,true,3,https://biosash.com/media/uploads/products/2025-10-03-2.jpg,https://gbcnvrymoarcqrvdnnvb.supabase.co/storage/v1/object/public/product-images/gallery/sea-buckthorn-massage-cream-2/9e88474a14fe-2025-10-03-2.jpg
